USID,Date,stockid,price,dayreturn,Volume,mHi,mLo,qHi,qLo,yrHi,yrLo
227186,2017-02-16,10729,5.78,-0.08108108108108103,18239300,0.8652694610778444,1.052823315118397,0.8652694610778444,1.12890625,0.604602510460251,1.6467236467236468
227187,2017-02-13,10707,23.23,-0.14153729273973725,2494800,0.8524770642201835,1.0,0.8225920679886686,1.0008617406661673,0.8225920679886686,1.2834254143646409
227188,2017-03-13,10688,8.67,-0.07765957446808514,53700,0.9107142857142857,1.009313154831199,0.9107142857142857,1.078358208955224,0.867,1.1303780964797914
227189,2017-03-14,10688,9.5,0.09573241061130333,39800,0.9978991596638656,1.1059371362048893,0.9978991596638656,1.1815920398009951,0.95,1.2385919165580184
227190,2017-02-24,10683,3.45,-0.09210526315789469,1679000,0.696969696969697,1.0,0.6634615384615384,1.0,0.6634615384615384,2.4820143884892087
227191,2017-03-02,10656,23.559998999999998,0.08073394865752048,4019500,0.9961944608879493,1.1498291361639823,0.7727123319121023,1.1498291361639823,0.6056554701462482,1.1498291361639823
227192,2017-03-14,10656,20.83,-0.08880143968497645,2133300,0.8759461364194222,1.0,0.6863261943986819,1.0165934602244997,0.5418834688315158,1.0165934602244997
227193,2017-02-13,10655,2.27,0.15228426395939088,3645200,0.9700854700854702,1.2681564245810055,0.8566037735849057,2.1619047619047618,0.8566037735849057,3.388059701492537
227194,2017-02-21,10655,2.45,0.10360360360360366,3197300,1.0,1.3687150837988828,0.9245283018867926,2.0081967213114758,0.9245283018867926,3.656716417910448
227195,2017-02-28,10655,2.0,-0.07834101382488479,3437000,0.8163265306122448,1.081081081081081,0.7547169811320755,1.639344262295082,0.7547169811320755,2.9850746268656714
227196,2017-03-10,10655,1.65,-0.09340659340659352,2947400,0.6734693877551019,1.0,0.6226415094339622,1.0,0.6226415094339622,1.896551724137931
227197,2017-03-14,10655,1.43,-0.09493670886075956,2315000,0.583673469387755,1.0,0.539622641509434,1.0,0.539622641509434,1.64367816091954
227198,2017-03-09,10651,23.440001000000002,-0.15256684743311633,4845400,0.843772503823884,1.0,0.8335704184363294,1.0,0.7774461359867331,1.493945251752709
227199,2017-02-21,10649,4.67,0.11722488038277512,1165700,1.0,1.58843537414966,1.0,1.749063670411985,1.0,3.1133333333333333
227200,2017-02-27,10649,5.87,0.2515991471215351,1110900,1.0,1.8061538461538462,1.0,2.1985018726591763,1.0,3.9133333333333336
227201,2017-02-28,10649,4.98,-0.15161839863713789,6871400,0.8483816013628621,1.4910179640718564,0.8483816013628621,1.8651685393258428,0.8483816013628621,3.3200000000000003
227202,2017-03-01,10649,4.47,-0.10240963855421703,1722800,0.7614991482112435,1.3383233532934131,0.7614991482112435,1.6741573033707864,0.7614991482112435,2.377659574468085
227203,2017-03-02,10649,3.65,-0.18344519015659955,4238400,0.6218057921635434,1.0928143712574852,0.6218057921635434,1.3670411985018727,0.6218057921635434,1.9312169312169312
227204,2017-02-27,10647,45.900002,0.11951224390243897,821700,1.0,1.1403727204968945,1.0,1.1403727204968945,1.0,2.054610653536258
227205,2017-03-15,10640,5.41,0.07984031936127756,177200,0.8711755233494364,1.0798403193612776,0.7577030812324931,1.0798403193612776,0.7577030812324931,1.4388297872340428
227206,2017-02-21,10637,23.02,0.07872539831302716,4287200,1.0,1.1643904906423874,1.0,1.2363049819385077,1.0,2.4913419913419914
227207,2017-02-16,10630,4.75,-0.26356589147286824,8786500,0.566150178784267,1.0,0.5608028335301062,1.0844748858447488,0.38680781758957655,1.430722891566265
