USID,MarketCapitalization,PriceToBook,Beta
137983,42.2419,2.8411,1.0392
134826,38.8481,0.9757,1.4238
132781,114.1504,1.0666,0.6317
130961,129.949,40.7752,0.1756
128717,543.1162,33.8785,1.406
157384,4330.7148,6.146,0.0
146216,16.9995,-13.1679,0.7671
145109,58.749,1.7329,0.5407
134824,31.7127,0.7965,1.4093
128715,449.4755,28.0374,1.3837
133480,89.3944,4.8203,0.4359
128748,31.0638,0.6044,1.2878
122631,14.2656,-41.3486,1.188
111188,63.0027,0.9961,1.1993
108324,840.8789,4.7591,0.6719
107651,28.7375,0.6751,0.7074
106717,76.4202,12.6418,1.1514
144174,64.9096,1.9781,1.263
141636,22.1814,1.3347,0.2999
140370,28.1853,3.2341,0.2955
136379,561.8868,18.0973,1.065
134843,41.9385,1.5063,1.4095
134098,112.4122,0.6274,1.0583
132976,111.7951,10.0319,0.9226
123311,113.948,1.5818,2.6785
144148,88.7272,1.4901,1.4284
137896,27.5038,2.7815,0.496
137357,134.3422,5.8719,0.6655
136392,319.1786,3.7519,1.7836
100344,16.0068,3.9513,1.0782
164471,44.8911,0.0734,2.2818
159210,97.9627,0.5506,0.1709
152570,39.703,2.2141,-0.0095
141617,64.2649,1.0959,0.0691
132953,119.891,3.3942,0.6644
130960,123.5766,38.7757,0.1296
123284,161.8032,1.5325,3.1815
122321,38387.2859,316.2777,1.8573
116387,99.4588,1.8778,2.0536
115125,6.9091,0.4499,0.6206
111244,58.869,1.5476,0.9994
86101,90.3291,0.8902,0.8219
77544,21.5806,0.3098,1.0729
71243,11.2602,1.0929,0.9741
68201,84.2225,0.3904,1.102
62812,131.7065,2.6562,0.7713
61196,36.393,4.2864,0.3579
121191,959.2431,9.9457,1.2048
106993,108.4514,3.9559,0.7713
88162,239.2112,11.5388,1.2541
80104,19.7675,1.0566,0.3634
73575,125.3898,4.1959,0.4115
132456,212.221,0.985,0.9855
127373,192.0365,3.0234,1.3387
102677,1361.6289,-43.4919,1.7887
54171,127.5784,1.131,1.1555
37242,30.9202,0.1795,1.3248
45648,92.7912,3.1935,1.5423
44546,130.6497,-4.1721,1.0362
48589,68.0886,2.7331,0.1327
