USID,MarketCapitalization,PriceToBook,Beta
226979,2284.249,1.7291,1.4133
227024,69.5717,1.0201,-1.1758
227026,59.4713,3.4379,1.0653
227060,103.7772,0.7002,1.8021
227073,6848.1114,5.2416,0.9244
227109,780.595,0.5935,1.3314
227144,3596.6028,1.1808,2.0805
227167,169.4826,0.2498,1.541
227241,929.2154,-13.2687,1.1551
227245,1058.1367,2.2913,2.1458
227258,791.5957,1.0087,1.3951
227304,340.4854,0.3461,1.7448
227329,728.9058,3.3886,1.2753
227332,4209.4698,4.8498,1.0073
227385,2016.9655,1.1299,1.3597
227387,116.0808,0.4463,1.2808
225958,47.9256,3.9911,0.3912
225965,267.7428,1.8866,1.6457
225969,46.8461,1.1772,2.5858
225978,1802.3781,3.9515,1.2162
225989,2611.2285,-321.7705,1.1653
226059,96.0408,-1.1432,1.0146
226090,53.0135,0.8789,0.4232
226144,528.6367,1.0911,0.9441
226162,448.4998,0.9431,1.3492
226177,508.416,-9.321,-0.0347
226286,92.0103,2.7483,0.9784
226295,102.645,2.3643,6.7626
226306,40.1929,1.5405,0.0017
226311,19.4982,1.4156,0.0384
226327,166.3618,5.6503,0.7752
226339,16.0329,0.9868,0.8036
226448,131.8598,3.0448,0.9952
226455,450.2984,2.0644,1.4167
226458,776.3884,2.8881,1.4321
226481,152.4551,1.4214,2.1649
226531,2668.8355,8.0571,1.5038
226566,8.9604,0.1338,1.1476
226572,1041.8746,7.2151,1.1458
226574,139.9167,2.3185,1.3366
226592,937.5919,0.9639,1.3036
226596,5027.1701,3.0405,0.9481
226602,97.1187,0.2645,1.3598
226613,41.9912,8.9286,1.0352
226645,865.2899,5.0847,1.9839
226680,66.8247,1.2577,1.4776
226682,0.2511,0.056,0.468
226712,84.3947,-1.3507,2.7233
226725,71.9583,-11.4988,0.9072
226857,9.0805,1.4363,-0.0943
226872,13.0563,0.7255,1.5753
226884,218.3402,1.5956,0.1546
226900,63.3456,17.9185,1.1697
226902,32.0639,1.6074,1.0547
226914,45.6362,9.1272,-0.1702
226946,614.8458,2.7585,1.5135
226947,48.4824,1.7623,1.4006
226963,29.8385,3.9553,1.8557
226969,339.5291,-38.5028,0.8578
227001,60.9575,2.3745,0.4787
227003,35.8293,0.6809,1.0742
227027,66.2465,3.8295,1.0773
227043,7650.4529,6.8575,-2.1693
227080,925.2595,0.8207,1.4958
227103,5390.4258,13.0987,1.3922
227151,586.3872,-1.2988,1.0372
227183,2772.0272,4.797,0.5627
227240,1732.5486,3.5297,1.1026
227257,907.3305,1.6138,1.0597
227339,336.6413,1.5405,1.2599
227343,10478.4816,1.6391,0.767
227388,125.9182,0.4841,1.2862
225959,51.6251,4.2992,0.4258
225992,6092.6607,24.7077,0.1919
226077,189.587,3.7481,1.0132
226080,1619.7853,-7.3395,1.1451
226085,5.079,0.7039,0.4903
226095,7089.8206,2.4899,0.7566
226102,7168.3886,3.2215,1.5715
226141,2332.1115,5.6367,1.9901
226158,30.0872,6.3988,0.6883
226200,470.8009,3.3586,2.3778
226205,738.3375,6.6585,1.7634
226268,77.3687,-3.5438,0.2656
226296,94.1975,2.1697,7.1328
226340,14.5863,0.8978,0.8578
226354,15.116,0.0359,1.4399
226421,11.6682,0.1144,0.1244
226532,85.1935,3.3771,0.0129
226540,12.7238,0.4653,0.6039
226573,954.1589,6.6077,1.1536
226575,126.0101,2.088,1.3432
226614,36.9276,7.8519,1.0561
226621,523.0238,2.0577,2.0564
226640,1224.15,8.1452,1.3225
226713,98.1421,-1.5708,2.5022
226716,314.94,1.5246,1.0188
226726,79.1766,-12.6523,0.9147
226734,83.1576,4.484,0.5018
226742,253.559,2.4202,1.6803
226754,55.1817,24.5906,1.1631
226771,24.7739,4.9548,-0.1074
226844,1882.5120000000002,2.4634,1.0161
226894,82.3597,2.9223,1.0472
226915,65.7687,13.1538,-0.1389
226960,143.6883,1.2184,1.5
226985,11.7966,0.6809,0.5027
227007,7.3609,1.6466,0.4774
227014,2093.5574,5.215,1.9208
227033,583.6279,1.4547,1.8897
227040,71.5315,5.2853,0.7116
227091,134.8125,0.2354,1.6533
227123,1430.0641,13.9521,1.1279
227127,658.0307,0.5376,1.2151
227145,357.5859,1.2292,1.8729
227147,1908.5834,1.5685,1.3927
227152,528.2931,-1.1701,1.0258
227175,2803.26,1.6578,1.1214
227186,2278.235,2.333,1.2468
227207,172.7765,0.1212,1.8396
227290,2046.6078,2.2882,1.3573
227312,384.1,0.4142,1.5336
227335,399.2168,3.7989,1.3037
227344,148.2034,1.5012,0.7547
225960,48.2619,4.0192,0.4245
225970,41.0077,1.0305,2.5525
226011,561.0989,5.0549,1.4139
226023,9.6175,0.9057,0.074
226030,223.0761,2.4067,1.2186
226040,27.0963,0.9229,0.3089
226047,1348.06,9.2501,5.6247
226067,42.8591,0.5535,0.3773
226086,4.2598,0.5903,0.4866
226088,1186.9554,0.9307,2.0357
226091,63.6161,1.0547,0.4442
226124,24.371,0.2947,0.0406
226160,37.578,4.5494,0.688
226164,33.395,0.1201,0.8979
226194,53.3134,3.0515,1.1239
226253,30.6674,7.9926,0.1858
226275,226.9046,3.6425,0.8823
226338,1139.8228,3.4988,1.3652
226360,16.5835,12.0595,1.0152
226422,9.9179,0.0972,0.1278
226442,14.9876,-6.107,0.3435
226459,907.7,3.3766,1.4399
226478,586.2869,4.7272,2.3054
226533,102.2183,4.0519,0.0153
226541,13.6136,0.4978,0.6003
226552,382.1877,0.9815,1.403
226607,149.5689,5.8948,0.9366
226612,2429.4744,6.7052,1.5924
226654,0.4544,0.0349,1.3597
226681,218.0549,2.8282,0.2702
226698,421.3757,4.9735,1.4774
226735,97.7102,5.2687,0.501
226764,100.1951,1.3555,1.1813
226783,479.6381,1.3181,0.8945
226830,887.6083,0.9599,2.171
226858,8.1886,1.2953,-0.1141
226868,19.6349,1.3001,0.1458
226874,21.6154,1.2011,1.5642
226917,63.6129,12.7226,-0.1357
226933,91.7431,3.0499,0.6195
226976,653.7399,1.9904,1.0594
226986,10.165,0.5867,0.5136
227005,703.1146,2.0802,1.0037
227011,124.4713,2.764,3.1831
227022,83.0286,22.6849,0.7233
227072,110.023,1.3298,1.1175
227096,1164.3791,1.6987,1.2161
227110,594.8595,0.6218,1.3556
227135,61.007,0.0226,2.0416
227158,43.4424,0.1776,0.8174
227185,489.8728,2.2405,1.2174
227194,185.808,0.4904,1.4657
227199,550.126,-0.1279,1.3597
227206,5441.2454,4.2278,1.7812
227228,583.6151,-6.1403,1.0973
227280,340.915,0.3159,1.5077
227301,1048.834,0.576,1.0974
227305,340.4854,0.3461,1.7454
227322,18.7866,0.1667,0.5322
227324,34.986,0.1259,0.966
227328,6500.579,65.0062,1.7962
227340,813.875,-1.4612,3.7032
227345,142.6557,1.445,0.7647
225961,43.8898,3.6551,0.4119
225971,36.5594,0.9187,2.5306
226019,6270.4653,3.4103,1.0752
226052,2955.4378,4.0178,0.7586
226127,363.3089,2.8583,1.4152
226165,26.6696,0.0959,0.7976
226226,73.1862,-229.4191,0.6068
226249,43.638999999999996,0.7503,0.1463
226276,207.0007,3.323,0.8688
226287,82.9083,2.4764,1.0093
226330,18.4331,0.6261,0.7431
226394,411.7487,4.7497,0.6653
226396,446.2062,-3.6829,1.777
226423,12.1985,0.1196,0.1169
226452,134.5483,14.5219,1.3856
226466,1072.4899,3.1053,0.9088
226485,15.7144,2.2901,0.6436
226501,9.1765,-4.1433,0.5781
226534,123.6209,4.9003,0.0285
226558,890.9936,4.2408,1.8954
226567,6.9838,0.1042,1.1264
226599,3488.3282,0.5867,1.6166
226623,508.1383,1.9991,2.0487
226631,235.7875,5.8187,1.0102
226646,840.3638,4.9382,2.0669
226655,0.3741,0.0288,1.3215
226669,421.9108,0.9502,0.0196
226683,0.2866,0.0639,0.4538
226752,19.4473,2.182,0.346
226778,313.0482,5.7577,1.5519
226831,813.641,0.8799,2.1773
226836,62.0789,1.6004,1.1318
226859,10.7831,1.7056,-0.1224
226875,18.8591,1.048,1.6049
226918,52.9438,10.5888,-0.2112
226935,60.8339,3.0213,1.161
226964,30.3084,4.0176,1.8659
227008,6.5431,1.4636,0.4665
227017,331.039,-15.7337,1.761
227023,76.5394,20.9119,0.7418
227088,147.5473,3.4348,0.595
227100,655.2191,-30.7659,1.5139
227162,7770.0818,8.4826,1.7198
227264,567.7935,23.1931,2.0016
227272,43.1322,0.7549,0.7525
227281,315.3257,0.2922,1.5176
227306,307.5776,0.3126,1.7535
225962,36.9952,3.0809,0.4151
226000,4728.4566,14.7193,1.5141
226006,15.3034,0.4787,1.1242
