USID,n3r,n5r,ndr,ndv
75226,-0.024316109,-0.019756839,0.00152207,184900
19567,-0.087431694,-0.109289617,-0.051813472,161000
74300,0.04750005,0.12299995,0.00050025,163000
178724,0.038405493,0.018473554,0.018316781,3451600
201305,-0.021189894,-0.022819886,0.058671268,4879700
138420,0.036024084,0.046297547,0.052077472,4667400
185673,-0.010869565,-0.032608696,-0.104622871,4374500
219522,-0.005586592,0.009310987,-0.047027507,8041900
82909,-0.028409091,0.056818182,0.041420118,170200
115244,0.583333255,0.595911871,-0.063328424,512900
145480,0.068241526,0.064042051,-0.005221984,410900
74351,-0.037037011,-0.018518434,-0.039671711,610300
62796,0.031325301,0.040160643,-0.007968127,145400
27077,0.007965048,-0.015149118,0.015382144,368800
6196,-0.007168459,-0.021505376,-0.024475524,82300
188420,0.019940916,-0.044313146,-0.002210759,1776600
69933,0.078619862,0.027149332,0.006260717,150700
151450,0.030423334,-0.026455027,0.014765074,783300
210906,-0.106934002,-0.157059315,0.058355438,334400
209533,-0.014662757,-0.052199358,0.009174223,126500
115243,0.300441826,0.522091311,0.120462046,639900
103620,0.006211242,0.099378944,-0.003095975,262000
172050,0.073979592,0.010204082,-0.02,857300
183296,-0.029227598,-0.018789185,0,825200
66672,-0.018087855,-0.031007752,0.023809524,1226400
206948,-0.054143646,-0.04198895,-0.018438178,3320400
85387,-0.01396648,-0.054003724,0.00656045,1980000
145532,-0.005457853,-0.001212917,0.076370757,4726600
115744,0.169902913,0.208737864,-0.019047619,199200
187063,-0.049071618,-0.118037135,-0.047979798,790400
110036,0.038961039,-0.077922078,-0.0375,1591500
204560,0.069326148,0.097056602,-0.002668607,515300
168750,0.063287934,0.004449938,0.01150285,795000
9735,-0.013466693,-0.048266707,-0.000133342,506900
171593,0.038975559,0.037861917,-0.017505579,273600
128007,-0.062616785,-0.024299047,0.001872622,850700
181543,0.002311248,-0.050847458,-0.031343284,335800
153363,0.011645963,-0.038043478,-0.037369208,306800
88767,-0.004435125,-0.00539173,0.012414122,387900
116734,0.116182503,0.132780014,-0.012295082,521700
206529,0.013311148,-0.038269551,-0.008250825,12511800
213077,0.009416196,0.015065913,-0.001879699,726300
210905,-0.045092838,-0.086648983,-0.086429725,699900
56669,0.034397985,0.039312039,-0.00245098,528800
209368,-0.008492569,-0.033439544,0.002127713,1373500
41529,0.032432432,-0.037837892,0.019283747,308500
182127,0.011395395,-0.018604628,-0.054737346,7174000
164859,-0.048275862,-0.110344828,-0.02027027,392600
6195,-0.013986014,-0.06993007,0.1,139500
211580,0.046908316,0.049040512,0.017353579,5845300
193364,0.002220076,-0.010783381,0.015786082,633700
147390,0.314285714,0.292857143,0.037037037,1245700
185594,0.02811245,0,0,878300
204181,0.015086207,0.032327586,-0.025210084,479200
21749,0.02688172,0.010752688,-0.03626943,148100
