USID,LatestCloseAsPercentOf10DayAverage,LatestCloseAsPercentOf10WeekAverage,LatestCloseAsPercentOf200DayAverage
204181,97.2024,76.2664,64.6661
21749,108.978,113.9228,129.5728
27088,94.0434,96.7442,98.0581
183633,125.7387,140.4832,172.1078
17254,86.9978,83.1382,97.7178
2699,109.8618,109.9969,108.2825
186011,103.139,110.1166,123.7324
218527,113.7494,116.3269,128.6699
135947,114.7813,115.1805,131.9992
197577,92.9954,92.8354,97.4381
125566,124.8945,125.8643,121.8733
212579,108.4744,118.6202,109.5151
209367,80.8077,81.3272,88.0091
224824,90.9858,107.5998,98.6515
116572,99.9116,94.252,91.2505
116122,86.5395,87.9861,90.3233
3297,93.7544,108.3361,164.1684
180244,113.5965,119.482,156.6364
177102,111.0007,114.4364,137.1854
189619,104.4305,108.221,118.6822
2901,85.0855,79.9044,99.1839
218085,113.9896,136.6952,144.0983
19144,103.4239,110.7978,162.3372
111953,94.1538,93.3976,107.7836
125565,115.5517,113.3173,109.7354
156255,115.0278,85.3892,46.7801
186935,110.5179,113.5251,126.0126
76076,110.1977,102.8419,93.4619
208296,92.2163,83.7784,88.4868
193641,113.016,119.561,114.8472
27028,106.0683,105.48,102.9844
70228,77.8589,73.7198,68.4676
8434,112.3611,120.2702,142.8895
210904,115.7153,137.4264,157.7769
73553,111.0999,109.7712,115.2256
75225,115.3008,121.4624,137.6984
76366,112.1857,116.53,141.9394
57197,56.2107,55.5455,56.3403
218084,135.8025,161,168.1992
54640,104.6931,87.8788,62.0877
186010,116.0991,120.7391,135.005
215918,128.2443,148.0034,200.4116
202441,88.3993,80.4011,109.7577
202431,101.5755,106.2372,101.373
155498,110.8312,127.6972,154.8589
98384,104.8901,112.4545,122.8379
33747,114.0696,110.0766,134.3603
201947,110.0324,112.153,137.0876
183607,94.8584,107.7759,51.1968
135723,94.061,95.2701,102.701
163467,132.9558,120.555,119.6247
103303,101.9701,100.1398,93.6121
177101,125.5034,128.8593,153.5398
90044,116.0024,132.9677,163.0012
224325,110.4733,114.4511,136.2077
180872,112.1855,114.3153,135.3129
116733,84.9914,90.2727,106.7961
103262,108.4466,108.615,85.1976
58395,87.8067,78.3955,87.8455
147389,104.3956,129.3665,125.9797
25957,101.5504,77.9947,58.0695
204180,108.4906,82.6566,71.8063
144184,103.8015,116.6623,101.9867
63695,90.3422,87.3819,78.7885
218083,116.2362,133.5484,137.8976
182001,132.2314,147.7039,131.4588
210884,106.298,105.4633,121.1065
182571,117.0375,126.4424,140.0949
177100,106.2069,107.3415,126.8795
204891,90.574,84.5751,89.0903
70440,109.6768,110.7447,135.1043
222528,105.6118,101.7332,132.4086
142630,130.3591,157.3248,202.8145
194744,121.1688,125.5219,122.5186
102887,105.4101,108.2859,143.6238
197281,110.4294,107.4536,109.8802
222089,79.949,84.342,105.7742
97269,117.036,118.6343,150.7195
144183,95.6322,106.4525,93
192576,110.248,110.1207,95.7074
140069,112.6474,113.9179,116.7932
182000,118.5751,127.793,112.6137
222088,93.6443,100.7369,126.779
75224,113.8127,117.7483,132.5959
11114,84.0081,79.8661,64.2104
63269,94.3678,93.5756,97.4467
222774,89.0684,96.9515,123.5286
130175,113.0105,121.4839,130.9108
32225,128.1289,151.0959,153.036
101013,98.8071,127.1474,249.8321
17055,100.022,101.4378,118.335
19313,105.6423,112.2573,127.0621
128413,103.5403,126.0907,173.1309
46380,85.4962,82.695,90.3468
179257,114.1442,128.8576,131.421
132466,103.0235,115.0938,88.4539
36382,94.0722,104.9375,74.0313
52841,107.4863,110.2654,114.4617
144182,103.2584,114.961,100.5267
181367,90.6806,90.2139,91.8485
221264,133.3629,200.8049,179.3948
