symbol,name,lastsale,marketcap,adr_tso,ipoyear,sector,industry,summary_quote,serialid
UBP,Urstadt Biddle Properties Inc.,17.8011,696717395.3088,n/a,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/ubp,2933
UBP^F,Urstadt Biddle Properties Inc.,25.6433,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ubp^f,2934
UBP^G,Urstadt Biddle Properties Inc.,25.6601,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ubp^g,2935
USFD,US Foods Holding Corp.,27.27,6016000148.91,n/a,2016,Consumer Non-Durables,Food Distributors,http://www.nasdaq.com/symbol/usfd,2936
USAC,"USA Compression Partners, LP",18.64,1296648690.72,n/a,2013,Public Utilities,Natural Gas Distribution,http://www.nasdaq.com/symbol/usac,2937
USNA,"USANA Health Sciences, Inc.",62.5,381046875,n/a,n/a,Consumer Durables,Specialty Chemicals,http://www.nasdaq.com/symbol/usna,2938
USDP,USD Partners LP,15.2,344966812,n/a,2014,Transportation,Railroads,http://www.nasdaq.com/symbol/usdp,2939
USG,USG Corporation,30.85,4506550384.65,n/a,n/a,Capital Goods,Building Materials,http://www.nasdaq.com/symbol/usg,2940
BIF,"USLIFE Income Fund, Inc.",9.11,966542002.87,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/bif,2941
VFC,V.F. Corporation,49.56,20503529797.8,n/a,n/a,Consumer Non-Durables,Apparel,http://www.nasdaq.com/symbol/vfc,2942
EGY,Vaalco Energy Inc,1.18,69188045.66,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/egy,2943
MTN,"Vail Resorts, Inc.",174.2,6960167793.8,n/a,1997,Consumer Services,Services-Misc. Amusement & Recreation,http://www.nasdaq.com/symbol/mtn,2944
VALE,VALE S.A.,9.73,50142338029.98,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/vale,2945
VALE.P,VALE S.A.,n/a,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/vale.p,2946
VRX,"Valeant Pharmaceuticals International, Inc.",14.22,4851735835.14,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/vrx,2947
VLO,Valero Energy Corporation,65.51,29654068362.09,n/a,n/a,Energy,Integrated oil Companies,http://www.nasdaq.com/symbol/vlo,2948
VLP,Valero Energy Partners LP,49.41,3327998988.06,n/a,2013,Energy,Natural Gas Distribution,http://www.nasdaq.com/symbol/vlp,2949
VHI,"Valhi, Inc.",3.25,1102266584.25,n/a,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/vhi,2950
VR,"Validus Holdings, Ltd.",57.73,4581676041.91,n/a,2007,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/vr,2951
VR^A,"Validus Holdings, Ltd.",24.22,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/vr^a,2952
VLY,Valley National Bancorp,12.13,3199220360.45,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/vly,2953
VLY.WS,Valley National Bancorp,n/a,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/vly.ws,2954
VLY^A,Valley National Bancorp,28,0,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/vly^a,2955
VMI,"Valmont Industries, Inc.",145.1,3266352339.3,n/a,n/a,Capital Goods,Metal Fabrications,http://www.nasdaq.com/symbol/vmi,2956
VAL,Valspar Corporation (The),110.3,8760345097.9,n/a,n/a,Basic Industries,Paints/Coatings,http://www.nasdaq.com/symbol/val,2957
VVV,Valvoline Inc.,23.06,4716453083.32,n/a,2016,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/vvv,2958
VNTV,"Vantiv, Inc.",63.62,12477906960.98,n/a,2012,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/vntv,2959
VAR,"Varian Medical Systems, Inc.",79.78,7455471954.64,n/a,n/a,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,http://www.nasdaq.com/symbol/var,2960
VGR,Vector Group Ltd.,22.54,2881502262.38,n/a,n/a,Consumer Non-Durables,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/vgr,2961
VVC,Vectren Corporation,55.35,4586750386.65,n/a,n/a,Public Utilities,Natural Gas Distribution,http://www.nasdaq.com/symbol/vvc,2962
VEC,"Vectrus, Inc.",22.46,242003512.82,n/a,2014,Consumer Services,Diversified Commercial Services,http://www.nasdaq.com/symbol/vec,2963
VEDL,Vedanta  Limited,14.8,10970518011.6,n/a,2013,Capital Goods,Metal Fabrications,http://www.nasdaq.com/symbol/vedl,2964
VEEV,Veeva Systems Inc.,43.62,5983023844.38,n/a,2013,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/veev,2965
VTRB,"Ventas Realty, Limited Partnership // Ventas Capital Corporati",25.12,0,n/a,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/vtrb,2966
VTR,"Ventas, Inc.",61.65,21830859490.95,n/a,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/vtr,2967
VER,VEREIT Inc.,8.47,8251255270.72,n/a,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/ver,2968
VER^F,VEREIT Inc.,25.4,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ver^f,2969
PAY,"Verifone Systems, Inc.",18.57,2067019829.1,n/a,2005,Miscellaneous,Office Equipment/Supplies/Services,http://www.nasdaq.com/symbol/pay,2970
VRTV,Veritiv Corporation,56,896063392,n/a,2014,Consumer Services,Paper,http://www.nasdaq.com/symbol/vrtv,2971
VZ,Verizon Communications Inc.,48.58,198042877388.16,n/a,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/vz,2972
VZA,Verizon Communications Inc.,26.35,0,n/a,2014,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/vza,2973
VET,Vermilion Energy Inc.,40.97,4845223146.76,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/vet,2974
VRS,Verso Corporation,7.98,274437331.14,n/a,2016,Basic Industries,Paper,http://www.nasdaq.com/symbol/vrs,2975
VSM,"Versum Materials, Inc.",29.01,3152672802.81,n/a,2016,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/vsm,2976
VVI,Viad Corp,43.85,890501678.1,n/a,n/a,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/vvi,2977
VCO,Vina Concha Y Toro,32.66,1219860765.34,n/a,1994,Consumer Non-Durables,Beverages (Production/Distribution),http://www.nasdaq.com/symbol/vco,2978
