symbol,name,lastsale,marketcap,adr_tso,ipoyear,sector,industry,summary_quote,serialid
CYAN,Cyanotech Corporation,4,22675524,n/a,n/a,Consumer Durables,Specialty Chemicals,http://www.nasdaq.com/symbol/cyan,758
CYBR,CyberArk Software Ltd.,53.98,1798194445.3,n/a,2014,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/cybr,759
CYBE,CyberOptics Corporation,38.9,267728705.4,n/a,1987,Capital Goods,Electronic Components,http://www.nasdaq.com/symbol/cybe,760
CYCC,"Cyclacel Pharmaceuticals, Inc.",5.2,22106390.8,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/cycc,761
CYCCP,"Cyclacel Pharmaceuticals, Inc.",6.7033,2247435.5009,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/cyccp,762
CBAY,CymaBay Therapeutics Inc.,2.07,48535296.21,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/cbay,763
CYNO,"Cynosure, Inc.",49.5,1180992829.5,n/a,2005,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,http://www.nasdaq.com/symbol/cyno,764
CY,Cypress Semiconductor Corporation,12.91,4166053901.6,n/a,1986,Technology,Semiconductors,http://www.nasdaq.com/symbol/cy,765
CYRN,CYREN Ltd.,2.1,82154515.8,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/cyrn,766
CONE,CyrusOne Inc,48.41,4043467470.19,n/a,2013,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/cone,767
CYTK,"Cytokinetics, Incorporated",11.25,455815035,n/a,2004,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/cytk,768
CTMX,"CytomX Therapeutics, Inc.",11.81,429911706.26,n/a,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/ctmx,769
CYTX,Cytori Therapeutics Inc,1.59,32798475.48,n/a,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/cytx,770
CYTXW,Cytori Therapeutics Inc,0.7999,0,n/a,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/cytxw,771
CTSO,Cytosorbents Corporation,5.5,140079313,n/a,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/ctso,772
CYTR,CytRx Corporation,0.428,46450913.188,n/a,1986,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/cytr,773
